tc,area,pop,pden,wden,urb,paper,glass,metal,plastic,msw_so,msw_un,msw,sor,geo,roads,s_wteregio,s_landfill
231.5800018,157,17017,108.3885345,52729.10156,2,10.27169396,7.598506439,0.715542934,5.21339151,6341649,1936820,8278469,76.6,3,343,33.10504913,15.23353004
489.75,33.15000153,7023,211.8551941,268972.1875,2,5.168493482,3.922086288,0.480169862,1.489217431,3725760,5190668,8916428,41.79,2,70,12.07579041,31.49303818
123.8099976,102.3099976,25140,245.7237854,110842.5,2,14.53828013,9.773942409,2.236564196,6.457247677,8750256,2590040,11340296,77.16,3,210,9.898176193,11.29678535
207.2700043,25.80999947,26710,1034.870239,557234.25,2,13.72528406,6.125064455,1.209062637,4.75065873,9340096,4749340,14089436,66.29,2,118,0,42.47533035
217.3500061,67.55000305,12366,183.0643921,100975.6719,2,10.06646184,6.616861951,1.891082813,3.748988221,5050677,1770230,6820907,74.05,2,135,12.07579041,31.49303818
121.7099991,9.640000343,4214,437.1369019,217209.125,2,12.16440549,12.13364943,2.321891823,3.538571161,1856706,237190,2093896,88.67,3,58,9.898176193,11.29678535
275.9100037,23.59000015,6496,275.3709106,174770.6719,2,17.18412551,9.363812324,0.375372316,2.505045066,2802000,1320840,4122840,67.96,1,100,5.633979797,56.75167847
376.1000061,10.64999962,10416,978.0281982,635966.625,2,13.28368751,9.37538572,2.021395402,7.895120717,5216884,1556160,6773044,77.02,3,102,0,16.86346436
108,35.72999954,19067,533.6411743,255795.8906,2,11.99189854,9.433139594,2.39297465,6.799683618,6457787,2681800,9139587,70.66,3,112,9.898176193,11.29678535
108.9499969,34.97999954,3626,103.6592331,45586.25,3,12.39966964,8.77664528,2.221738648,7.381567998,1256387,338220,1594607,78.79,3,52,9.898176193,11.29678535
332.9599915,2.660000086,2822,1060.902222,537403.375,2,14.40650636,10.11925207,1.14306261,7.274047512,1126699,302794,1429493,78.82,1,4,27.87697983,3.602712631
393.3599854,60.40000153,12556,207.8807831,147208.5938,2,5.332895307,4.930371475,0.22656727,1.680342992,2728518,6162881,8891399,30.69,2,125,12.07579041,31.49303818
108.1100006,10.89000034,3902,358.3103638,129212.8516,3,13.32536912,6.249609133,2.573753063,7.154573003,1060798,346330,1407128,75.39,3,51,9.898176193,11.29678535
244.1399994,135.7899933,139601,1028.06543,847342.3125,1,14.82105462,6.331616821,0.921071069,5.656577819,78969537,36091074,115060611,68.63,3,748,33.10504913,15.23353004
250.9900055,3.680000067,7032,1910.869507,1401995.875,2,7.44373559,9.394603385,1.494181917,2.522025567,1842205,3317140,5159345,35.71,3,18,0,16.86346436
674.2999878,2.720000029,1800,661.7647095,589330.875,2,12.14176097,13.37090918,2.330908683,7.130344733,1204060,398920,1602980,75.11,3,15,0,16.86346436
156.3600006,118.1699982,26620,225.2686768,89223.35938,2,11.5556241,9.743421649,1.147149663,6.679550405,8010154,2533370,10543524,75.97,1,188,8.904969215,39.5241394
104.3099976,24.47999954,3653,149.2238617,83390.89063,3,16.51545575,5.820244743,1.940718396,6.708797698,1640189,401220,2041409,80.35,3,33,9.898176193,11.29678535
100.5100021,21.67000008,4594,211.9981537,79779,2,8.788699285,8.3097574,2.54874593,6.824690495,1353141,375670,1728811,78.27,3,44,9.898176193,11.29678535
83.81999969,9.840000153,3104,315.4471436,130879.875,2,12.53849415,12.22774561,0.684314575,6.216057982,993958,293900,1287858,77.18,3,36,9.898176193,11.29678535
217.4199982,17.80999947,65944,3702.63916,1801911.625,1,7.807012853,5.452815657,0.594007038,3.556968824,17342584,14749460,32092044,54.04,1,79,27.87697983,3.602712631
106.2200012,24.29000092,2641,108.7278671,49944.87109,3,8.645596092,9.537893157,2.387152241,6.211871302,814724,367925,1182649,68.89,3,28,17.46755028,4.897195816
158.5800018,106.7900009,12245,114.6642914,75180.21094,2,12.36291484,3.575601654,2.20039995,4.281063886,5049305,2979190,8028495,62.89,3,165,33.10504913,15.23353004
